product_id,product_name,brand,final_price,initial_price,discount,review_count,rating,category_name,root_category_name,available_for_delivery,available_for_pickup
3272052424,YNIQUE Women's One Piece Swimsuits Tummy Control Swimwear Flattering High Waisted Monokini Bathing Suits for Women,YNIQUE,21.0,32.99,12.0,14,4.9,Womens One-piece Swimsuits,Clothing,True,False
3192640084,Toddler Baby Girl One Piece Swimsuits Kids Girls Long Sleeve Strawberry Graphic Print Jumpsuit with Sun Hat Rash Guards Beach Bathing Suit 6M-3Y,GXFC,9.38,10.79,1.41,1,3,Toddler Girls One-piece Swimsuits,Clothing,True,False
3843028104,"KAWELL Princess Peach Costume for Girls, Super Brothers Kids Princess Peach Dress Halloween Cosplay Dress Up with Accessories",KAWELL,26.7,29.66,2.97,2,5,All Kids Costumes & Dress-Up,Toys,True,False
389619195,"Hauteloom Herstmonceux Traditional Living Room Bedroom Soft Natural Runner Rug - Oriental Persian Floral Farmhouse Carpet - Boho, Modern Vintage - Cream, Pink, Salmon, Orange, Brown - 2'7"" x 7'3""",Hauteloom,56.7,63.0,6.3,342,4.4,All Runner Rugs,Home,True,False
1131095306,"INNERSY Teen Girl's Cotton Slip Shorts for Under Dresses Breathable Boxer Panties 3-Pack(L, Black)",INNERSY,17.0,19.99,3.0,16,4.3,Kids Multi Packs,Clothing,True,False
3047523261,Amay Rod Pocket Window Curtain Panel Grey 84 Inch Wide by 120 Inch Long-1 Panel,Amay's,115.0,144.0,28.8,3,5,Shop Curtains,Home,True,False
1330671813,JuneFish Women's Summer Dress Casual Beach Sundress Stretchy Tank Dress with Pockets,Junefish,13.0,31.99,19.0,1913,4.3,Young Adult Dresses,Clothing,True,False
3569966086,"Hauteloom Kongiganak Living Room, Bedroom Patio Outdoor Area Rug - Indoor/Outdoor - Black, Beige - 8'10""",Hauteloom,269.0,299.0,29.9,38,4.3,Plastic Outdoor Rugs,Patio & Garden,True,False
5133776504,"Chaps Men's & Big Men's Swim Trunks with UPF50+, 7"" Inseam, Sizes S-3XL",Chaps,17.0,23.0,6.0,3,5,Mens Swim Trunks,Clothing,True,False
634290741,"Hanes Authentic Men's Short Sleeve Crewneck T-Shirt, Big and Tall Sizes Available S-5XL",Hanes,7.38,11.0,3.62,4558,4.2,Big and Tall Polo Shirts,Clothing,True,False
5586004243,"Sanmadrola 100% Double-Sided Waterproof Dog Bed Cover Pet Blanket Sofa Couch Furniture Protector for Kids Children Dog Cat, Reversible Green 82''x102''",SANMADROLA,45.0,52.99,8.0,260,4.7,Couch Covers,Home,True,False
294612862,"Cutie Pie Dreamers Baby Boy & Toddler Boy 4PC Tight Fit Cotton Sleep Set, Size 12 Months-5T",Cutie Pie,12.0,14.99,3.0,63,4.3,Boys Pajama Sets,Clothing,True,False
5452795545,"Coodeto 4'x6' Area Rugs for Living Room, Non-Slip Machine Washable Rug Oriental Floral Rug Stain Resistant Foldable Carpet for Bedroom, Dusty Blue",Coodeto,52.0,65.95,13.99,2,4.5,All Area Rugs,Home,True,False
990631587,2-PACK Medgear 12-Pocket Women's Scrub Set with Silver Snap Detail & Contrast Trim,Medgear,28.7,40.98,12.3,227,3.7,Black Scrubs,Clothing,True,False
3264982193,"Amay Cotton 600TC 4-PCs Sheet Set Easily Fit upto 6-8 Inch Deep Pockets Solid Pattern ( Emperor, Navy Blue )",Amay's,88.2,97.99,9.8,2,3,Colored Sheets,Home,True,False
2007056084,"Amay 800TC Organic Cotton Olympic Queen Size Fitted Sheet ( 66X80 ) Fits Mattress Upto 12-15 inches, White Solid",Amay's,51.3,57.0,5.7,6,5,Cooling Sheets,Home,True,False
